CA DistanceNominal (au),V relative(km/s),H(mag)
0.04061,13.26,60.0
0.03874,7.85,50.50000000000001
0.03761,8.74,66.0
0.02066,11.31,69.5
0.04529,13.74,42.5
0.02849,4.98,66.5
0.0151,2.64,76.0
0.04872,2.28,64.5
0.04902,16.4,55.50000000000001
0.00748,15.41,61.99999999999999
0.01181,8.68,55.50000000000001
0.02039,15.31,51.99999999999999
0.03737,14.47,47.5
0.00156,24.4,79.5
0.01007,12.82,61.5
0.04352,4.0,49.0
0.03463,25.62,25.500000000000007
0.04288,7.48,72.0
0.01711,7.13,67.0
0.028,5.88,68.0
0.02419,25.7,33.00000000000001
0.02421,12.5,78.0
0.04479,4.74,35.0
0.0303,11.92,71.0
0.0276,9.22,44.49999999999999
0.03621,5.25,65.5
0.01486,10.67,74.5
0.00539,4.57,63.00000000000001
0.00795,18.13,64.5
0.03272,6.29,64.5
0.03969,7.4,64.0
0.0017,16.79,61.0
0.04964,12.52,56.5
0.03157,5.68,41.99999999999999
0.04091,8.8,62.5
0.02494,5.34,54.49999999999999
0.03093,4.26,100.0
0.04533,21.84,50.50000000000001
0.01156,6.16,30.0
0.00903,10.82,71.5
0.03314,4.5,88.0
0.03177,16.95,41.99999999999999
0.03154,16.35,51.99999999999999
0.02571,6.18,56.0
0.04308,18.49,56.99999999999999
0.04994,9.58,70.5
0.03399,4.08,62.5
0.00985,4.1,73.0
0.03393,8.69,61.0
0.03849,13.0,35.0
0.01783,15.32,59.0
0.03164,5.83,56.99999999999999
0.04618,10.06,60.0
0.01036,5.8,74.0
0.00269,6.29,84.0
0.03595,12.96,24.499999999999993
0.00738,12.36,31.500000000000004
0.01105,8.17,49.49999999999999
0.03891,8.82,50.50000000000001
0.02925,4.8,57.5
0.0126,15.07,67.0
0.0213,10.4,54.0
0.04264,11.28,54.49999999999999
0.01839,39.54,46.99999999999999
0.00876,5.77,65.0
0.02242,6.52,53.5
0.02511,6.4,65.5
0.01455,8.93,72.0
0.00611,9.26,70.0
0.02286,7.61,34.49999999999999
0.04221,11.25,66.0
0.03617,15.06,59.0
0.02209,8.51,61.5
0.03856,8.05,68.0
0.02382,7.66,67.0
0.01643,1.29,61.99999999999999
0.03671,6.53,36.0
0.04561,11.58,51.5
0.00487,6.63,69.0
0.02079,5.44,65.5
0.04871,4.66,64.0
0.01139,4.46,77.5
0.01886,19.64,31.500000000000004
0.04453,6.94,61.0
0.02893,13.46,41.5
0.02964,23.41,33.00000000000001
0.00718,13.48,51.5
0.04977,4.67,35.0
0.04781,9.11,44.0
0.02095,11.64,45.50000000000001
0.01158,8.17,71.0
0.03162,21.22,56.99999999999999
0.03603,9.88,56.99999999999999
0.0423,14.78,51.99999999999999
0.03024,4.81,81.0
0.03156,8.67,56.99999999999999
0.01447,15.49,78.0
0.01239,12.12,61.99999999999999
0.01924,11.54,51.0
0.03925,5.41,66.5
0.01368,18.66,35.50000000000001
0.04752,7.75,64.0
0.00053,16.31,75.5
0.04137,15.37,68.5
0.03675,11.33,43.5
0.03281,4.3,59.0
0.03721,16.05,14.500000000000002
0.00067,5.38,70.5
0.00397,7.34,81.0
0.02407,11.54,73.0
0.02985,8.08,62.5
0.02439,7.64,61.99999999999999
0.03341,11.42,67.0
0.02458,12.58,49.49999999999999
0.03467,7.26,65.0
0.00025,13.18,87.0
0.02443,5.42,71.5
0.02178,14.79,55.0
0.02061,9.56,70.0
0.04228,20.96,28.000000000000007
0.02447,6.02,66.0
0.0388,22.04,38.5
0.0365,14.78,59.49999999999999
0.02845,5.55,59.0
0.00303,21.19,40.0
0.03822,15.2,74.5
0.03354,1.8,64.0
0.02651,7.78,65.0
0.01841,4.71,61.5
0.02867,7.56,56.5
0.04971,26.18,36.99999999999999
0.03443,10.88,36.0
0.04027,4.79,68.0
0.03929,7.96,73.0
0.02401,9.97,49.0
0.04697,6.15,51.5
0.02037,19.17,35.50000000000001
0.01758,7.73,72.5
0.04203,9.54,44.0
0.0364,9.7,58.5
0.03136,23.36,35.0
0.03773,5.68,29.499999999999993
0.01581,9.67,76.0
0.03507,9.43,56.5
0.01898,6.52,66.5
0.02473,28.52,40.0
0.03269,16.26,56.99999999999999
0.04279,9.14,60.0
0.02935,13.94,68.5
0.02897,8.99,68.5
0.03795,12.44,53.5
0.00834,22.11,68.0
0.00943,5.11,75.0
0.03178,28.89,44.0
0.04743,8.62,68.0
0.00049,12.15,89.5
0.00956,10.18,70.5
0.04789,14.3,52.5
0.02295,14.09,55.50000000000001
0.034,3.28,73.0
0.00419,17.62,77.5
0.04706,2.89,58.5
0.04293,9.01,60.50000000000001
0.02425,5.76,64.0
0.04337,4.59,36.0
0.04638,8.08,66.0
0.03935,8.61,56.5
0.04654,8.1,49.49999999999999
0.03241,0.59,72.0
0.01624,13.32,62.5
0.01858,4.52,65.0
0.01031,5.59,72.0
0.01411,21.29,41.5
0.02848,9.1,60.50000000000001
0.03122,11.83,55.0
0.03736,11.33,58.00000000000001
